Emmanuel Sanders,Southern Methodist
Daniel Helm,Duke
Dontae Johnson,North Carolina State
Levine Toilolo,Stanford
Azeez Al-Shaair,Florida Atlantic
Kevin Givens,Penn State
Justin Skule,Vanderbilt
Dre Greenlaw,Arkansas
Mitch Wishnowsky,Utah
Deebo Samuel,South Carolina
Nick Bosa,Ohio State
Ben Garland,Air Force
Daniel Brunskill,San Diego State
Tevin Coleman,Indiana
Jordan Matthews,Vanderbilt
Kwon Alexander,LSU
Dee Ford,Auburn
Mike Person,Montana State
Jeff Wilson Jr.,North Texas
Emmanuel Moseley,Tennessee
Ross Dwelley,San Diego
Richie James Jr.,Middle Tennessee State
Marcell Harris,Florida
D.J. Reed Jr.,Kansas State
Tarvarius Moore,Southern Miss
Fred Warner,BYU
Dante Pettis,Washington
Mike McGlinchey,Notre Dame
Richard Sherman,Stanford
Elijah Lee,Kansas State
Mark Nzeocha,Wyoming
Joe Staley,Central Michigan
Ahkello Witherspoon,Colorado
K'Waun Williams,Pittsburgh
Jimmie Ward,Northern Illinois
Laken Tomlinson,Duke
Solomon Thomas,Stanford
Jaquiski Tartt,Samford
Kyle Nelson,New Mexico State
Earl Mitchell,Arizona
Raheem Mostert,Purdue
Robbie Gould,Penn State
Nick Mullens,Southern Mississippi
George Kittle,Iowa
Sheldon Day,Notre Dame
DeForest Buckner,Oregon
Kendrick Bourne,Eastern Washington
Matt Breida,Georgia Southern
C.J. Beathard,Iowa
Arik Armstead,Oregon
Jimmy Garoppolo,Eastern Illinois
Kyle Juszczyk,Harvard
