Player,Latitude,Longitude,Location
Emmanuel Sanders,32.841801149999995,-96.78152810147064,Southern Methodist
Daniel Helm,43.9956369,17.9960929,Duke
Dontae Johnson,35.6729639,-79.0392919,North Carolina State
Levine Toilolo,37.427467,-122.1702445,Stanford
Azeez Al-Shaair,26.3743445,-80.10272360134499,Florida Atlantic
Kevin Givens,40.8034484,-77.85911884037719,Penn State
Justin Skule,40.0336167,-79.6612536,Vanderbilt
Dre Greenlaw,35.2048883,-92.4479108,Arkansas
Mitch Wishnowsky,39.4225192,-111.7143584,Utah
Deebo Samuel,33.6874388,-80.4363743,South Carolina
Nick Bosa,41.8924345,-87.6277656,Ohio State
Ben Garland,55.24496585,-162.75910731951305,Air Force
Daniel Brunskill,32.7174209,-117.1627714,San Diego State
Tevin Coleman,40.3270127,-86.1746933,Indiana
Jordan Matthews,40.0336167,-79.6612536,Vanderbilt
Kwon Alexander,30.40570885,-91.18596767189877,LSU
Dee Ford,32.535699,-85.48677785023041,Auburn
Mike Person,47.3752671,-109.6387579,Montana State
Jeff Wilson Jr.,33.9266015,-94.8524009,North Texas
Emmanuel Moseley,35.7730076,-86.2820081,Tennessee
Ross Dwelley,32.7174209,-117.1627714,San Diego
Richie James Jr.,35.84860085,-86.36090043375395,Middle Tennessee State
Marcell Harris,27.7567667,-81.4639835,Florida
D.J. Reed Jr.,38.27312,-98.5821872,Kansas State
Tarvarius Moore,31.3285925,-89.33647717746409,Southern Miss
Fred Warner,40.2551075,-111.64965648425293,BYU
Dante Pettis,38.8948932,-77.0365529,Washington
Mike McGlinchey,41.704567749999995,-86.23822026017265,Notre Dame
Richard Sherman,37.427467,-122.1702445,Stanford
Elijah Lee,38.27312,-98.5821872,Kansas State
Mark Nzeocha,43.1700264,-107.5685348,Wyoming
Joe Staley,43.6211955,-84.6824346,Central Michigan
Ahkello Witherspoon,38.7251776,-105.6077167,Colorado
K'Waun Williams,40.4416941,-79.9900861,Pittsburgh
Jimmie Ward,41.8137876,-88.0662396,Northern Illinois
Laken Tomlinson,43.9956369,17.9960929,Duke
Solomon Thomas,37.427467,-122.1702445,Stanford
Jaquiski Tartt,36.0742367,-89.914254,Samford
Kyle Nelson,34.5708167,-105.993007,New Mexico State
Earl Mitchell,34.395342,-111.7632755,Arizona
Raheem Mostert,42.637268,-83.216131,Purdue
Robbie Gould,40.8034484,-77.85911884037719,Penn State
Nick Mullens,31.3285925,-89.33647717746409,Southern Mississippi
George Kittle,41.9216734,-93.3122705,Iowa
Sheldon Day,41.704567749999995,-86.23822026017265,Notre Dame
DeForest Buckner,43.9792797,-120.737257,Oregon
Kendrick Bourne,12.4625,124.643056,Eastern Washington
Matt Breida,42.7582998,44.545481,Georgia Southern
C.J. Beathard,41.9216734,-93.3122705,Iowa
Arik Armstead,43.9792797,-120.737257,Oregon
Jimmy Garoppolo,40.1249096,-88.1923923,Eastern Illinois
Kyle Juszczyk,42.36790855,-71.12678237443698,Harvard
