Name,Enemies Vanquished
Scamaz,399075
Kaaras,304559
Disaro,262935
Cryptopsy,237887
Darkworld,210787
Junglist,201185
Cookiez,197295
Arcand,195100
Monterey,185461
Deer,177340
Feast,175385
Nostalgic,167482
Kristiaan,166100
Unique,163986
Iukesky,162446
Chapsta,157497
Revaldo,157133
Orangegame,151242
Moksha,149829
Nakagami,149429
Higgin,148634
Decimus,147647
Pendraghon,146598
Scum,145901
Rogel,143443
Compleitee,143281
Chaos,142813
Vader,140126
Dolor,139513
Imserious,138591
Alice,137972
Jun,137267
Slperyknob,136227
Serpik,136076
Kain,135143
Ramiro,134620
Kyogre,134375
Jabok,132721
Chaote,131921
Majora,127045
Saberath,126661
Redrat,125204
Yayo,124616
Mrdafuqi,122725
Polevoy,122248
Shrek,121828
Ging,121720
Gromp,121616
Celest,120037
Vain,119813
Bal,119685
Afabas,119684
Notwindows,119659
Chro,119523
Xablutococ,118951
Aninha,117007
Beldora,116878
Lodka,116822
Glassysun,116063
Nightman,115938
Siren,115500
Lobster,115270
Ruxon,114813
Biglex,114712
Vanner,114198
Trytin,113513
Leetoah,113410
Lordvang,111920
Talrine,111780
Destructc,111696
Cucumber,111274
Glue,111273
Andyland,110605
Doc,108995
Xanagrande,107782
Azazellik,107326
Ralk,107046
Greenmile,106866
Lorddark,106556
Alison,106523
Macerenade,106210
Dinakor,105882
Cysero,105032
Laleyenda,104224
Toxicate,103129
Dzikus,103089
Garp,102091
Calenture,101935
Tyler,101751
Plng,101329
Taliah,100986
Academia,100099
Casra,99425
Gooblin,99118
Richgang,98787
Frendkolob,98421
Gullhot,98380
Jas,98182
Ozymandias,97697
Pothead,97471
Fita,97207
Obesepig,97155
Mordo,97009
Zyzhao,97007
Blubird,96531
Mantra,96127
Eikatupan,95455
Nmcdo,95347
Tiett,95054
Firegi,94991
Spence,94761
Yuh,94579
Dkong,94166
Muscular,93572
Nickname,93340
Petrichor,92724
Ancient,91688
Maguito,91406
Lunara,91248
Dartten,91098
Trollibee,90779
Frandle,90331
Gerkens,89857
Aleehh,89749
Patryk,89674
Sucosuco,88846
Athelstan,88792
Scottie,88723
Kairi,88705
Akrabu,88170
Marquinbr,88110
Takao,87537
Cannabis,87236
Poche,86961
Dvoid,86355
Sebalhag,86342
Knight,86328
Hate,86311
Piety,85654
Charles,85649
Hitiman,85216
Tmalla,85122
Suspicous,84920
Ferunbras,84614
Bonecobr,83934
Miclee,83856
Struckdown,83542
Brick,83482
Redmercury,83293
Recinal,83194
Swiftsubs,83185
Slamd,83060
Kyauul,83052
Minecore,83027
Bjorn,82869
Fynn,82812
Daymien,82785
Coc,82472
Neoshot,82405
Agermon,82064
Seekx,81792
Hunterhunt,81724
Brentos,81597
Midge,81056
Broly,80242
Cheesiy,80206
Niice,80113
Ssmm,79513
Chipses,79477
Defenser,79469
Jammin,79204
Lordfayte,78658
Nicholashd,78628
Greg,78604
Radiation,78532
Fezoz,78501
Vultten,78329
Yera,78294
Dien,78090
Mystique,77730
Jabol,77325
Munstertom,77129
Skeletwon,76980
Namjies,76666
Ronlly,76300
Nickel,76120
Noah,76072
Krpytoxide,75973
Hinty,75859
Cerebro,75286
Digdig,75189
Tamper,75035
Gucci,74956
Tecnobit,74949
Wizard,74338
Mrmannco,74012
Mudd,73975
Ich,73695
Morkvarg,73589
Sadlife,73396
Capone,73155
Flinter,73012
Arocbenjio,72901
Dragneel,72860
Darkking,72639
Wammis,72614
Rutora,72514
Dinako,72495
Swordsman,72111
Ccboy,71324
Maya,71094
Pencilpete,71082
Slushies,71069
Mrpithon,71009
Mindless,70946
Mlosterq,70310
Faneto,70021
Baptist,69932
Numbertwo,69772
Sagumac,68987
Ternarian,68981
Adephos,68736
Secret,68729
Spicy,68700
Hatelife,68605
Weirdow,68262
Sierra,68241
