Name,Gold
Nmcdo,4046926
Pheobe,2086474
Lobster,1329712
Kaaras,909044
Moosejuice,749803
Oomikami,701405
Lunara,652009
Moksha,647287
Seekx,633409
Scum,558760
Vanner,503894
Shubs,476601
Darkworld,435694
Ging,423196
Swiftsubs,423084
Roug,414855
Unique,400946
Trytin,375158
Arocbenjio,359878
Alison,348392
Flavietto,336600
Fynn,327999
Namjies,315394
Chaote,301857
Popup,279629
Garp,249308
Orangegame,231016
Ragnorak,220135
Grimmlock,207500
Jammin,204475
Trick,199638
Gooblin,196620
Sebalhag,189902
Asaryian,189541
Darkking,184722
Dungpile,183296
Faint,182028
Neoshot,181806
Chatzorro,175000
Cedi,173813
Porygon,162543
Bluntzz,157403
Scottie,153348
Venterix,150761
Smissen,147372
Abelincoln,147088
Feast,144339
Knightmare,143478
Mrpithon,140020
Willard,139027
Wammis,137927
Nymeriya,137350
Brandonl,137101
Playforfun,136762
Jun,135265
Kilad,134653
Azimathi,134218
Pongpong,132564
Pofurg,130818
Piety,130800
Shadydude,129988
Tradetarou,129840
Realmchik,129338
Vanloko,127041
Wilde,126660
Byeklood,126583
Doomerock,125820
Holbrin,124770
Reki,122846
Frickhead,122481
Talrine,122338
Kiltjoy,122249
Pinotti,121870
Barret,121181
Meldons,118472
Ripple,117836
Crazykin,116312
Theguy,116052
Neltharios,114755
Sapiens,113654
Celest,113379
Aeonzadak,113261
Acrux,112083
Inp,110481
Ters,109567
Supergey,109246
Cory,107708
Mile,107401
Lollypop,107273
Jihuyh,107247
Friuty,106506
Serpik,104080
Bah,103996
Weirdow,103781
Grumtuk,103180
Zyzhao,100237
Xablutococ,99392
Jacobbe,98877
Rutora,96543
Killbees,96469
Shivers,95595
Chapsta,95174
Sonta,95000
Brandom,94512
Mordak,93335
Skurpy,93102
Strekyndo,92133
Ichiro,90612
Hatelife,90409
Hawky,90322
Catchick,89382
Glassysun,87851
Kotabear,87059
Gretzky,86522
Noah,85900
Rancher,85337
Kindguy,85025
Cone,83653
Nico,83621
Wizard,83445
Hawl,80307
Beheaded,79999
Thorberg,78939
Acoolhat,76661
Ternarian,75881
Gool,75351
Kakuseisha,75276
Vultten,75067
Khorkz,74284
Spence,74057
Light,72552
Nimsin,71907
Wollver,70321
Sek,70153
Stawr,70000
Darkov,69710
Cknight,69576
Agh,69244
Tigerdogge,68092
Hera,67789
Tarus,67724
Mardus,67342
Jasmina,65984
Davila,65224
